# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.639374302962953329e+09,0.000000000000000000e+00,1.228676032732001211e+00,0.000000000000000000e+00,1.679018774911344991e+00
1.666666666666666644e-02,1.639374302964966297e+09,0.000000000000000000e+00,1.679018774911344991e+00,1.043784412493711455e+00,1.679018774911344991e+00
3.333333333333333287e-02,1.639374302965945482e+09,0.000000000000000000e+00,1.237158803805669560e+00,0.000000000000000000e+00,1.237158803805669560e+00
5.000000000000000278e-02,1.639374302984895229e+09,0.000000000000000000e+00,1.177023531015089830e+00,0.000000000000000000e+00,1.177023531015089830e+00
6.666666666666666574e-02,1.639374303002846718e+09,0.000000000000000000e+00,1.001522571622612157e+00,0.000000000000000000e+00,1.001522571622612157e+00
8.333333333333332871e-02,1.639374303020799637e+09,0.000000000000000000e+00,9.794673668310741599e-01,0.000000000000000000e+00,9.794673668310741599e-01
1.000000000000000056e-01,1.639374303035759211e+09,0.000000000000000000e+00,1.029423314333252293e+00,0.000000000000000000e+00,1.029423314333252293e+00
1.166666666666666685e-01,1.639374303053711414e+09,0.000000000000000000e+00,1.037150210132021355e+00,0.000000000000000000e+00,1.037150210132021355e+00
1.333333333333333315e-01,1.639374303069702387e+09,0.000000000000000000e+00,1.107464808211005236e+00,0.000000000000000000e+00,1.107464808211005236e+00
1.499999999999999944e-01,1.639374303087619543e+09,0.000000000000000000e+00,1.154212450948651325e+00,0.000000000000000000e+00,1.154212450948651325e+00
1.666666666666666574e-01,1.639374303103577137e+09,0.000000000000000000e+00,9.845570294752755691e-01,0.000000000000000000e+00,9.845570294752755691e-01
1.833333333333333204e-01,1.639374303119534492e+09,0.000000000000000000e+00,1.109161362425739927e+00,0.000000000000000000e+00,1.109161362425739927e+00
2.000000000000000111e-01,1.639374303137895584e+09,0.000000000000000000e+00,1.136306229861479444e+00,0.000000000000000000e+00,1.136306229861479444e+00
2.166666666666666741e-01,1.639374303156844854e+09,0.000000000000000000e+00,1.004915680052080429e+00,0.000000000000000000e+00,1.004915680052080429e+00
2.333333333333333370e-01,1.639374303170807362e+09,0.000000000000000000e+00,9.387500656774636631e-01,0.000000000000000000e+00,9.387500656774636631e-01
2.500000000000000000e-01,1.639374303187762022e+09,0.000000000000000000e+00,9.217845235301258544e-01,0.000000000000000000e+00,9.217845235301258544e-01
2.666666666666666630e-01,1.639374303204716682e+09,0.000000000000000000e+00,9.031224271680547977e-01,0.000000000000000000e+00,9.031224271680547977e-01
2.833333333333333259e-01,1.639374303222668648e+09,0.000000000000000000e+00,7.979360658545624485e-01,0.000000000000000000e+00,7.979360658545624485e-01
2.999999999999999889e-01,1.639374303237628460e+09,0.000000000000000000e+00,9.353569572479958349e-01,0.000000000000000000e+00,9.353569572479958349e-01
3.166666666666666519e-01,1.639374303254583120e+09,0.000000000000000000e+00,8.505292465113080125e-01,0.000000000000000000e+00,8.505292465113080125e-01
3.333333333333333148e-01,1.639374303272535324e+09,0.000000000000000000e+00,9.378093867376294801e-01,0.000000000000000000e+00,9.378093867376294801e-01
3.499999999999999778e-01,1.639374303288492203e+09,0.000000000000000000e+00,1.010761217971181125e+00,0.000000000000000000e+00,1.010761217971181125e+00
3.666666666666666408e-01,1.639374303305446863e+09,0.000000000000000000e+00,1.018488113769949965e+00,0.000000000000000000e+00,1.018488113769949965e+00
3.833333333333333037e-01,1.639374303324396849e+09,0.000000000000000000e+00,9.378093867376294801e-01,0.000000000000000000e+00,9.378093867376294801e-01
4.000000000000000222e-01,1.639374303341351509e+09,0.000000000000000000e+00,9.031224271680547977e-01,0.000000000000000000e+00,9.031224271680547977e-01
4.166666666666666852e-01,1.639374303358305931e+09,0.000000000000000000e+00,9.836163505354416081e-01,0.000000000000000000e+00,9.836163505354416081e-01
4.333333333333333481e-01,1.639374303375294447e+09,0.000000000000000000e+00,8.454395838671076024e-01,0.000000000000000000e+00,8.454395838671076024e-01
4.500000000000000111e-01,1.639374303393246174e+09,0.000000000000000000e+00,9.395059409523641714e-01,0.000000000000000000e+00,9.395059409523641714e-01
4.666666666666666741e-01,1.639374303408171892e+09,0.000000000000000000e+00,9.378093867376294801e-01,0.000000000000000000e+00,9.378093867376294801e-01
4.833333333333333370e-01,1.639374303426124334e+09,0.000000000000000000e+00,1.036209531192187283e+00,0.000000000000000000e+00,1.036209531192187283e+00
5.000000000000000000e-01,1.639374303443079948e+09,0.000000000000000000e+00,9.574121620395349419e-01,0.000000000000000000e+00,9.574121620395349419e-01
5.166666666666666075e-01,1.639374303460033655e+09,0.000000000000000000e+00,9.014258729533213277e-01,0.000000000000000000e+00,9.014258729533213277e-01
5.333333333333333259e-01,1.639374303478982449e+09,0.000000000000000000e+00,6.935055798159691642e-01,0.000000000000000000e+00,6.935055798159691642e-01
5.500000000000000444e-01,1.639374303492945433e+09,0.000000000000000000e+00,4.925563072024856104e-01,0.000000000000000000e+00,4.925563072024856104e-01
5.666666666666666519e-01,1.639374303510897636e+09,0.000000000000000000e+00,6.782365918833648255e-01,0.000000000000000000e+00,6.782365918833648255e-01
5.833333333333333703e-01,1.639374303527851820e+09,0.000000000000000000e+00,6.673013913200624980e-01,0.000000000000000000e+00,6.673013913200624980e-01
5.999999999999999778e-01,1.639374303544840574e+09,0.000000000000000000e+00,7.979360658545624485e-01,0.000000000000000000e+00,7.979360658545624485e-01
6.166666666666666963e-01,1.639374303562758684e+09,0.000000000000000000e+00,8.522258007260423707e-01,0.000000000000000000e+00,8.522258007260423707e-01
6.333333333333333037e-01,1.639374303580710888e+09,0.000000000000000000e+00,8.886093145103508562e-01,0.000000000000000000e+00,8.886093145103508562e-01
6.500000000000000222e-01,1.639374303596669912e+09,0.000000000000000000e+00,8.199912706461004452e-01,0.000000000000000000e+00,8.199912706461004452e-01
6.666666666666666297e-01,1.639374303613624096e+09,0.000000000000000000e+00,8.641016802291788812e-01,0.000000000000000000e+00,8.641016802291788812e-01
6.833333333333333481e-01,1.639374303630579233e+09,0.000000000000000000e+00,6.595744955212937688e-01,0.000000000000000000e+00,6.595744955212937688e-01
6.999999999999999556e-01,1.639374303647533178e+09,0.000000000000000000e+00,4.203603512438348067e-01,0.000000000000000000e+00,4.203603512438348067e-01
7.166666666666666741e-01,1.639374303663491011e+09,0.000000000000000000e+00,2.948153393535364875e-01,0.000000000000000000e+00,2.948153393535364875e-01
7.333333333333332815e-01,1.639374303681442976e+09,0.000000000000000000e+00,2.320428334083879107e-01,0.000000000000000000e+00,2.320428334083879107e-01
7.500000000000000000e-01,1.639374303699394703e+09,0.000000000000000000e+00,3.134774357156074887e-01,0.000000000000000000e+00,3.134774357156074887e-01
7.666666666666666075e-01,1.639374303715352058e+09,0.000000000000000000e+00,2.703077050723645125e-01,0.000000000000000000e+00,2.703077050723645125e-01
7.833333333333333259e-01,1.639374303736296177e+09,0.000000000000000000e+00,3.541947368692180409e-01,0.000000000000000000e+00,3.541947368692180409e-01
8.000000000000000444e-01,1.639374303757238626e+09,0.000000000000000000e+00,4.213010301836687121e-01,0.000000000000000000e+00,4.213010301836687121e-01
