# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.684344194257640362e+09,0.000000000000000000e+00,1.266540792465117082e+00,0.000000000000000000e+00,6.249696650926067854e+00
1.666666666666666644e-02,1.684344194259665012e+09,0.000000000000000000e+00,6.249696650926067854e+00,0.000000000000000000e+00,6.249696650926067854e+00
3.333333333333333287e-02,1.684344194261639833e+09,0.000000000000000000e+00,1.262751225739607186e+00,0.000000000000000000e+00,1.262751225739607186e+00
5.000000000000000278e-02,1.684344194278740406e+09,0.000000000000000000e+00,1.190749457954914048e+00,0.000000000000000000e+00,1.190749457954914048e+00
6.666666666666666574e-02,1.684344194296146870e+09,0.000000000000000000e+00,1.156643357425322538e+00,0.000000000000000000e+00,1.156643357425322538e+00
8.333333333333332871e-02,1.684344194313193560e+09,0.000000000000000000e+00,1.190749457954914048e+00,0.000000000000000000e+00,1.190749457954914048e+00
1.000000000000000056e-01,1.684344194330785990e+09,0.000000000000000000e+00,5.107776225685316529e-01,0.000000000000000000e+00,5.107776225685316529e-01
1.166666666666666685e-01,1.684344194346989870e+09,0.000000000000000000e+00,3.287935655918768907e-01,0.000000000000000000e+00,3.287935655918768907e-01
1.333333333333333315e-01,1.684344194364017248e+09,0.000000000000000000e+00,3.955210531499831483e-01,0.000000000000000000e+00,3.955210531499831483e-01
1.499999999999999944e-01,1.684344194380608320e+09,0.000000000000000000e+00,4.379839997778693372e-01,0.000000000000000000e+00,4.379839997778693372e-01
1.666666666666666574e-01,1.684344194398711681e+09,0.000000000000000000e+00,2.863306189639907018e-01,0.000000000000000000e+00,2.863306189639907018e-01
1.833333333333333204e-01,1.684344194416722775e+09,0.000000000000000000e+00,1.528756438477781310e-01,0.000000000000000000e+00,1.528756438477781310e-01
2.000000000000000111e-01,1.684344194434287548e+09,0.000000000000000000e+00,1.589417790803331620e-01,0.000000000000000000e+00,1.589417790803331620e-01
2.166666666666666741e-01,1.684344194450106382e+09,0.000000000000000000e+00,9.828042675478197709e-02,0.000000000000000000e+00,9.828042675478197709e-02
2.333333333333333370e-01,1.684344194464596033e+09,0.000000000000000000e+00,9.221429152222587744e-02,0.000000000000000000e+00,9.221429152222587744e-02
2.500000000000000000e-01,1.684344194484195471e+09,0.000000000000000000e+00,2.256692666384395030e-01,0.000000000000000000e+00,2.256692666384395030e-01
2.666666666666666630e-01,1.684344194501194000e+09,0.000000000000000000e+00,2.620660780337706330e-01,0.000000000000000000e+00,2.620660780337706330e-01
2.833333333333333259e-01,1.684344194517191172e+09,0.000000000000000000e+00,2.256692666384395030e-01,0.000000000000000000e+00,2.256692666384395030e-01
2.999999999999999889e-01,1.684344194536193371e+09,0.000000000000000000e+00,4.015871883825392619e-01,0.000000000000000000e+00,4.015871883825392619e-01
3.166666666666666519e-01,1.684344194551531553e+09,0.000000000000000000e+00,4.622485407080905162e-01,0.000000000000000000e+00,4.622485407080905162e-01
3.333333333333333148e-01,1.684344194568132401e+09,0.000000000000000000e+00,8.509202363183961948e-01,0.000000000000000000e+00,8.509202363183961948e-01
3.499999999999999778e-01,1.684344194585115433e+09,0.000000000000000000e+00,8.509202363183961948e-01,0.000000000000000000e+00,8.509202363183961948e-01
3.666666666666666408e-01,1.684344194601474524e+09,0.000000000000000000e+00,8.509202363183961948e-01,0.000000000000000000e+00,8.509202363183961948e-01
3.833333333333333037e-01,1.684344194618478537e+09,0.000000000000000000e+00,8.509202363183961948e-01,0.000000000000000000e+00,8.509202363183961948e-01
4.000000000000000222e-01,1.684344194637922764e+09,0.000000000000000000e+00,8.509202363183961948e-01,0.000000000000000000e+00,8.509202363183961948e-01
4.166666666666666852e-01,1.684344194654856920e+09,0.000000000000000000e+00,1.202118158131444403e+00,0.000000000000000000e+00,1.202118158131444403e+00
4.333333333333333481e-01,1.684344194670905352e+09,0.000000000000000000e+00,1.198328591405934063e+00,0.000000000000000000e+00,1.198328591405934063e+00
4.500000000000000111e-01,1.684344194688592672e+09,0.000000000000000000e+00,1.266540792465117082e+00,0.000000000000000000e+00,1.266540792465117082e+00
4.666666666666666741e-01,1.684344194706116676e+09,0.000000000000000000e+00,1.202118158131444403e+00,0.000000000000000000e+00,1.202118158131444403e+00
4.833333333333333370e-01,1.684344194721664190e+09,0.000000000000000000e+00,1.209697291582465084e+00,0.000000000000000000e+00,1.209697291582465084e+00
5.000000000000000000e-01,1.684344194738643885e+09,0.000000000000000000e+00,1.168012057601852893e+00,0.000000000000000000e+00,1.168012057601852893e+00
5.166666666666666075e-01,1.684344194756060123e+09,0.000000000000000000e+00,1.186959891229403929e+00,0.000000000000000000e+00,1.186959891229403929e+00
5.333333333333333259e-01,1.684344194773033857e+09,0.000000000000000000e+00,1.224855558484505558e+00,0.000000000000000000e+00,1.224855558484505558e+00
