# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.685477134459861040e+09,0.000000000000000000e+00,4.502986561308278124e-01,0.000000000000000000e+00,8.829699627334011147e-01
1.666666666666666644e-02,1.685477134461904049e+09,0.000000000000000000e+00,8.829699627334011147e-01,0.000000000000000000e+00,8.829699627334011147e-01
3.333333333333333287e-02,1.685477134462904453e+09,0.000000000000000000e+00,4.342737929233241867e-01,0.000000000000000000e+00,4.342737929233241867e-01
5.000000000000000278e-02,1.685477134479917288e+09,0.000000000000000000e+00,4.182489297158217267e-01,0.000000000000000000e+00,4.182489297158217267e-01
6.666666666666666574e-02,1.685477134499885082e+09,0.000000000000000000e+00,4.182489297158217267e-01,0.000000000000000000e+00,4.182489297158217267e-01
8.333333333333332871e-02,1.685477134514915228e+09,0.000000000000000000e+00,4.022240665083192668e-01,0.000000000000000000e+00,4.022240665083192668e-01
1.000000000000000056e-01,1.685477134531883955e+09,0.000000000000000000e+00,3.861992033008168068e-01,0.000000000000000000e+00,3.861992033008168068e-01
1.166666666666666685e-01,1.685477134546914577e+09,0.000000000000000000e+00,3.541494768858107212e-01,0.000000000000000000e+00,3.541494768858107212e-01
1.333333333333333315e-01,1.685477134565915108e+09,0.000000000000000000e+00,3.060748872633021755e-01,0.000000000000000000e+00,3.060748872633021755e-01
1.499999999999999944e-01,1.685477134582859278e+09,0.000000000000000000e+00,2.580002976407948512e-01,0.000000000000000000e+00,2.580002976407948512e-01
1.666666666666666574e-01,1.685477134600861311e+09,0.000000000000000000e+00,2.419754344332911700e-01,0.000000000000000000e+00,2.419754344332911700e-01
1.833333333333333204e-01,1.685477134617915154e+09,0.000000000000000000e+00,2.259505712257887378e-01,0.000000000000000000e+00,2.259505712257887378e-01
2.000000000000000111e-01,1.685477134634905100e+09,0.000000000000000000e+00,2.259505712257887378e-01,0.000000000000000000e+00,2.259505712257887378e-01
2.166666666666666741e-01,1.685477134650915861e+09,0.000000000000000000e+00,2.099257080182862778e-01,0.000000000000000000e+00,2.099257080182862778e-01
2.333333333333333370e-01,1.685477134668858767e+09,0.000000000000000000e+00,1.939008448107838178e-01,0.000000000000000000e+00,1.939008448107838178e-01
2.500000000000000000e-01,1.685477134686885595e+09,0.000000000000000000e+00,1.778759816032801921e-01,0.000000000000000000e+00,1.778759816032801921e-01
2.666666666666666630e-01,1.685477134704921007e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
2.833333333333333259e-01,1.685477134719916105e+09,0.000000000000000000e+00,-1.311086503500731026e-01,0.000000000000000000e+00,-1.311086503500731026e-01
2.999999999999999889e-01,1.685477134736915588e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
3.166666666666666519e-01,1.685477134754859209e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
3.333333333333333148e-01,1.685477134772906780e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
3.499999999999999778e-01,1.685477134789897680e+09,0.000000000000000000e+00,-1.311086503500731026e-01,0.000000000000000000e+00,-1.311086503500731026e-01
3.666666666666666408e-01,1.685477134806915998e+09,0.000000000000000000e+00,-1.595000353376554436e-01,0.000000000000000000e+00,-1.595000353376554436e-01
3.833333333333333037e-01,1.685477134821897745e+09,0.000000000000000000e+00,-1.531019767489043837e-01,0.000000000000000000e+00,-1.531019767489043837e-01
4.000000000000000222e-01,1.685477134838915110e+09,0.000000000000000000e+00,-1.343076796444484799e-01,0.000000000000000000e+00,-1.343076796444484799e-01
4.166666666666666852e-01,1.685477134857914448e+09,0.000000000000000000e+00,-1.706966378679696805e-01,0.000000000000000000e+00,-1.706966378679696805e-01
4.333333333333333481e-01,1.685477134873915672e+09,0.000000000000000000e+00,-1.822931190600806939e-01,0.000000000000000000e+00,-1.822931190600806939e-01
4.500000000000000111e-01,1.685477134891892195e+09,0.000000000000000000e+00,-1.994879015173488812e-01,0.000000000000000000e+00,-1.994879015173488812e-01
4.666666666666666741e-01,1.685477134908893585e+09,0.000000000000000000e+00,-2.526717635363410763e-01,0.000000000000000000e+00,-2.526717635363410763e-01
4.833333333333333370e-01,1.685477134923892021e+09,0.000000000000000000e+00,-3.594393662361226038e-01,0.000000000000000000e+00,-3.594393662361226038e-01
5.000000000000000000e-01,1.685477134942895412e+09,0.000000000000000000e+00,-2.570704288161073103e-01,0.000000000000000000e+00,-2.570704288161073103e-01
5.166666666666666075e-01,1.685477134959892511e+09,0.000000000000000000e+00,-1.882912989870346721e-01,0.000000000000000000e+00,-1.882912989870346721e-01
5.333333333333333259e-01,1.685477134976905584e+09,0.000000000000000000e+00,-1.890910563106286690e-01,0.000000000000000000e+00,-1.890910563106286690e-01
5.500000000000000444e-01,1.685477134993883133e+09,0.000000000000000000e+00,-1.994879015173488812e-01,0.000000000000000000e+00,-1.994879015173488812e-01
5.666666666666666519e-01,1.685477135011907339e+09,0.000000000000000000e+00,-2.578701861397013073e-01,0.000000000000000000e+00,-2.578701861397013073e-01
5.833333333333333703e-01,1.685477135026910067e+09,0.000000000000000000e+00,-1.622991859702339890e-01,0.000000000000000000e+00,-1.622991859702339890e-01
5.999999999999999778e-01,1.685477135041906118e+09,0.000000000000000000e+00,-1.531019767489043837e-01,0.000000000000000000e+00,-1.531019767489043837e-01
6.166666666666666963e-01,1.685477135060906887e+09,0.000000000000000000e+00,-1.602997926612491630e-01,0.000000000000000000e+00,-1.602997926612491630e-01
6.333333333333333037e-01,1.685477135076906681e+09,0.000000000000000000e+00,-1.942894789139886502e-01,0.000000000000000000e+00,-1.942894789139886502e-01
6.500000000000000222e-01,1.685477135094858646e+09,0.000000000000000000e+00,-2.526717635363410763e-01,0.000000000000000000e+00,-2.526717635363410763e-01
6.666666666666666297e-01,1.685477135113862038e+09,0.000000000000000000e+00,-1.906905709578163854e-01,0.000000000000000000e+00,-1.906905709578163854e-01
6.833333333333333481e-01,1.685477135129858971e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
6.999999999999999556e-01,1.685477135147858143e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
7.166666666666666741e-01,1.685477135164904833e+09,0.000000000000000000e+00,-1.175127758489774576e-01,0.000000000000000000e+00,-1.175127758489774576e-01
7.333333333333332815e-01,1.685477135180858850e+09,0.000000000000000000e+00,-1.243107130995251552e-01,0.000000000000000000e+00,-1.243107130995251552e-01
7.500000000000000000e-01,1.685477135199866056e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
7.666666666666666075e-01,1.685477135214888573e+09,0.000000000000000000e+00,-1.858920270162529587e-01,0.000000000000000000e+00,-1.858920270162529587e-01
7.833333333333333259e-01,1.685477135231859922e+09,0.000000000000000000e+00,-2.246802572105558449e-01,0.000000000000000000e+00,-2.246802572105558449e-01
8.000000000000000444e-01,1.685477135250883818e+09,0.000000000000000000e+00,-2.426747969914177516e-01,0.000000000000000000e+00,-2.426747969914177516e-01
8.166666666666666519e-01,1.685477135266858816e+09,0.000000000000000000e+00,-1.690971232207819364e-01,0.000000000000000000e+00,-1.690971232207819364e-01
8.333333333333333703e-01,1.685477135284861326e+09,0.000000000000000000e+00,-1.618993073084371570e-01,0.000000000000000000e+00,-1.618993073084371570e-01
8.499999999999999778e-01,1.685477135301907063e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
8.666666666666666963e-01,1.685477135318920612e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
8.833333333333333037e-01,1.685477135334914684e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
9.000000000000000222e-01,1.685477135352892160e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
9.166666666666666297e-01,1.685477135369915247e+09,0.000000000000000000e+00,-1.670977299117971104e-01,0.000000000000000000e+00,-1.670977299117971104e-01
9.333333333333333481e-01,1.685477135386907578e+09,0.000000000000000000e+00,-2.186820772836016447e-01,0.000000000000000000e+00,-2.186820772836016447e-01
9.499999999999999556e-01,1.685477135403884649e+09,0.000000000000000000e+00,-1.606996713230463003e-01,0.000000000000000000e+00,-1.606996713230463003e-01
9.666666666666666741e-01,1.685477135420885086e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
9.833333333333332815e-01,1.685477135436907291e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
1.000000000000000000e+00,1.685477135456877232e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
1.016666666666666607e+00,1.685477135472886324e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
1.033333333333333215e+00,1.685477135490889311e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
1.050000000000000044e+00,1.685477135507884502e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
1.066666666666666652e+00,1.685477135521884203e+09,0.000000000000000000e+00,1.618511183957777322e-01,0.000000000000000000e+00,1.618511183957777322e-01
1.083333333333333259e+00,1.685477135542914629e+09,0.000000000000000000e+00,-1.291092570410885265e-01,0.000000000000000000e+00,-1.291092570410885265e-01
